month_date,efc_metro,wod_trail,wfc_metro,founders_row,eden_center,n_oak_w_broad,penn_park,e_fairfax_s_wash,w_broad_little,n_roosevelt,s_maple_s_wash,city_hall,w_columbia_n_wash
2019-05,237.0,,41.0,,,40.0,57.0,51.0,39.0,36.0,61.0,53.0,53.0
2019-06,383.0,,46.0,,,48.0,68.0,72.0,77.0,100.0,79.0,59.0,61.0
2019-07,352.0,,61.0,,,37.0,37.0,56.0,57.0,93.0,51.0,37.0,73.0
2019-08,355.0,,58.0,,,52.0,43.0,47.0,78.0,106.0,70.0,37.0,47.0
2019-09,377.0,,62.0,,,50.0,51.0,49.0,66.0,103.0,44.0,75.0,62.0
2019-10,345.0,,42.0,,,52.0,51.0,38.0,58.0,92.0,43.0,43.0,61.0
2019-11,215.0,,27.0,,,26.0,50.0,27.0,32.0,81.0,13.0,33.0,35.0
2019-12,180.0,,24.0,,,17.0,18.0,10.0,20.0,51.0,9.0,16.0,28.0
2020-01,193.0,,27.0,,,6.0,21.0,11.0,26.0,40.0,13.0,23.0,28.0
2020-02,177.0,,21.0,,,22.0,26.0,16.0,20.0,38.0,13.0,24.0,32.0
2020-03,169.0,,21.0,,,46.0,32.0,22.0,25.0,51.0,30.0,18.0,33.0
2020-04,89.0,,22.0,,,57.0,28.0,10.0,17.0,19.0,30.0,12.0,32.0
2020-05,148.0,,32.0,,,31.0,23.0,26.0,30.0,67.0,44.0,6.0,42.0
2020-06,175.0,,12.0,,,70.0,56.0,28.0,22.0,100.0,27.0,19.0,43.0
2020-07,160.0,,24.0,,,48.0,35.0,43.0,55.0,69.0,34.0,39.0,49.0
2020-08,154.0,,23.0,,,52.0,49.0,39.0,50.0,91.0,40.0,37.0,54.0
2020-09,146.0,,30.0,,,78.0,37.0,57.0,32.0,93.0,23.0,35.0,52.0
2020-10,128.0,,17.0,,,44.0,45.0,31.0,40.0,54.0,27.0,37.0,49.0
2020-11,90.0,,11.0,,,36.0,26.0,20.0,37.0,36.0,42.0,30.0,38.0
2020-12,33.0,,12.0,,,37.0,18.0,14.0,22.0,34.0,43.0,4.0,28.0
2021-01,36.0,,11.0,,,12.0,17.0,11.0,22.0,30.0,42.0,10.0,24.0
2021-02,40.0,,3.0,,,10.0,10.0,10.0,12.0,23.0,38.0,3.0,18.0
2021-03,81.0,,10.0,,,24.0,17.0,16.0,32.0,67.0,37.0,17.0,27.0
2021-04,121.0,,10.0,,,33.0,37.0,7.0,40.0,62.0,51.0,23.0,37.0
2021-05,153.0,,26.0,,,58.0,25.0,10.0,48.0,55.0,58.0,40.0,45.0
2021-06,137.0,,32.0,,,59.0,42.0,21.0,33.0,60.0,45.0,49.0,52.0
2021-07,197.0,,28.0,,,52.0,57.0,27.0,55.0,83.0,77.0,28.0,61.0
2021-08,166.0,,23.0,,,34.0,26.0,19.0,51.0,73.0,66.0,26.0,49.0
2021-09,222.0,,30.0,,,65.0,34.0,34.0,33.0,89.0,80.0,30.0,57.0
2021-10,153.0,60.0,16.0,,,41.0,24.0,30.0,47.0,59.0,49.0,45.0,38.0
2021-11,149.0,41.0,12.0,,,33.0,25.0,24.0,29.0,49.0,31.0,25.0,14.0
2021-12,116.0,33.0,15.0,,,22.0,24.0,17.0,33.0,28.0,25.0,21.0,20.0
2022-01,53.0,16.0,14.0,,,10.0,8.0,14.0,10.0,14.0,9.0,16.0,9.0
2022-02,98.0,37.0,7.0,,,25.0,17.0,14.0,21.0,24.0,16.0,12.0,10.0
2022-03,160.0,59.0,22.0,,,41.0,29.0,24.0,31.0,35.0,54.0,22.0,22.0
2022-04,166.0,59.0,18.0,,,59.0,32.0,36.0,37.0,55.0,36.0,24.0,30.0
2022-05,231.0,96.0,22.0,,,71.0,35.0,37.0,51.0,56.0,72.0,42.0,31.0
2022-06,258.0,128.0,30.0,,18.0,55.0,43.0,44.0,69.0,89.0,50.0,44.0,47.0
2022-07,207.0,131.0,45.0,,43.0,72.0,68.0,39.0,48.0,61.0,66.0,39.0,51.0
2022-08,248.0,125.0,35.0,,53.0,112.0,44.0,43.0,61.0,69.0,66.0,51.0,64.0
2022-09,271.0,124.0,35.0,,46.0,71.0,61.0,46.0,59.0,72.0,61.0,52.0,67.0
2022-10,222.0,92.0,35.0,,35.0,57.0,33.0,24.0,42.0,43.0,47.0,39.0,54.0
2022-11,191.0,72.0,25.0,,35.0,36.0,43.0,10.0,46.0,32.0,33.0,36.0,46.0
2022-12,108.0,55.0,10.0,13.0,13.0,13.0,23.0,15.0,20.0,15.0,34.0,13.0,23.0
2023-01,155.0,77.0,11.0,29.0,23.0,26.0,31.0,28.0,38.0,30.0,49.0,31.0,53.0
2023-02,160.0,59.0,25.0,31.0,15.0,17.0,21.0,35.0,37.0,38.0,38.0,24.0,28.0
2023-03,221.0,87.0,34.0,41.0,45.0,24.0,22.0,36.0,41.0,53.0,56.0,43.0,35.0
2023-04,275.0,102.0,44.0,77.0,43.0,50.0,66.0,40.0,45.0,85.0,54.0,59.0,33.0
2023-05,374.0,152.0,50.0,181.0,64.0,57.0,43.0,30.0,57.0,89.0,99.0,71.0,65.0
2023-06,206.0,131.0,37.0,123.0,44.0,40.0,43.0,40.0,63.0,58.0,66.0,53.0,69.0
2023-07,355.0,149.0,77.0,114.0,62.0,53.0,68.0,36.0,59.0,55.0,88.0,68.0,68.0
2023-08,383.0,166.0,67.0,96.0,84.0,45.0,56.0,34.0,59.0,158.0,82.0,94.0,97.0
2023-09,334.0,106.0,68.0,82.0,73.0,37.0,53.0,29.0,54.0,117.0,69.0,58.0,56.0
